from_country,to_country,fee_clean,season_start,player_name,player_position
Brazil,England,9000000.0,2002,Gilberto Silva,Defensive Midfield
France,England,3830000.0,2002,Pascal Cygan,Centre-Back
England,England,5500000.0,2002,Richard Wright,Goalkeeper
France,England,15000000.0,2002,El-Hadji Diouf,Centre-Forward
France,England,7500000.0,2002,Salif Diao,Defensive Midfield
France,England,6500000.0,2002,Bruno Cheyrou,Central Midfield
France,England,400000.0,2002,Florent Sinama-Pongolle,Second Striker
England,England,4800000.0,2002,Stephen Wright,Right-Back
England,England,4500000.0,2002,Nick Barmby,Left Midfield
England,England,500000.0,2002,Gary McAllister,Central Midfield
England,England,46000000.0,2002,Rio Ferdinand,Centre-Back
Spain,England,2230000.0,2002,Ricardo,Goalkeeper
Qatar,England,250000.0,2002,Hussein Yasser,Attacking Midfield
Togo,England,55000.0,2002,Souleymane Mamam,Defensive Midfield
England,England,3500000.0,2002,Dwight Yorke,Centre-Forward
Portugal,England,12750000.0,2002,Hugo Viana,Central Midfield
England,England,6800000.0,2002,Titus Bramble,Centre-Back
England,England,225000.0,2002,Stuart Green,Right Winger
England,England,4500000.0,2002,Nick Barmby,Left Midfield
England,England,46000000.0,2002,Rio Ferdinand,Centre-Back
England,England,10500000.0,2002,Robbie Keane,Centre-Forward
England,England,15000.0,2002,Craig Farrell,Centre-Forward
Netherlands,England,3000000.0,2002,Marcus Allbäck,Centre-Forward
Scotland,England,2700000.0,2002,Ulises de la Cruz,Right-Back
Netherlands,England,2230000.0,2002,Stefan Postma,Goalkeeper
England,England,1150000.0,2002,Mark Kinsella,Defensive Midfield
England,England,6900000.0,2002,George Boateng,Defensive Midfield
England,England,10500000.0,2002,Robbie Keane,Centre-Forward
England,England,3500000.0,2002,Dwight Yorke,Centre-Forward
England,England,2250000.0,2002,David Thompson,Central Midfield
England,England,1500000.0,2002,Andy Todd,Centre-Back
England,England,600000.0,2002,Ben Burgess,Centre-Forward
France,England,3000000.0,2002,Michael Svensson,Centre-Back
Scotland,England,3000000.0,2002,Antti Niemi,Goalkeeper
Italy,England,9050000.0,2002,Massimo Maccarone,Centre-Forward
England,England,6900000.0,2002,George Boateng,Defensive Midfield
Spain,England,6900000.0,2002,Juninho Paulista,Attacking Midfield
France,England,3750000.0,2002,Franck Queudrue,Left-Back
Argentina,England,3000000.0,2002,Facundo Sava,Centre-Forward
England,England,750000.0,2002,Eddie Lewis,Left Midfield
England,England,5250000.0,2002,Gary Rowett,Right-Back
England,England,300000.0,2002,Paul Rachubka,Goalkeeper
England,England,1500000.0,2002,Andy Todd,Centre-Back
England,England,1150000.0,2002,Mark Kinsella,Defensive Midfield
England,England,5500000.0,2002,Richard Wright,Goalkeeper
Brazil,England,2000000.0,2002,Rodrigo Beckham,Attacking Midfield
France,England,1500000.0,2002,Joseph Yobo,Centre-Back
England,England,38000.0,2002,David Norris,Central Midfield
Scotland,England,11000000.0,2002,Tore André Flo,Centre-Forward
England,England,5250000.0,2002,Matt Piper,Right Midfield
England,England,4880000.0,2002,Marcus Stewart,Centre-Forward
England,England,4800000.0,2002,Stephen Wright,Right-Back
England,England,280000.0,2002,Sean Thornton,Central Midfield
Argentina,England,7500000.0,2002,Matías Vuoso,Centre-Forward
France,England,4500000.0,2002,David Sommeil,Centre-Back
Denmark,England,950000.0,2002,Mikkel Bischoff,Centre-Back
France,England,700000.0,2002,Marc-Vivien Foé,Defensive Midfield
England,England,300000.0,2002,Chris Killen,Centre-Forward
England,England,9000000.0,2002,Lee Hughes,Centre-Forward
England,England,3450000.0,2002,Jason Koumas,Attacking Midfield
England,England,2500000.0,2002,Sean Gregan,Centre-Back
England,England,1050000.0,2002,Lee Marshall,Central Midfield
England,England,250000.0,2002,Joe Murphy,Goalkeeper
England,England,6380000.0,2002,Clinton Morrison,Centre-Forward
France,England,2250000.0,2002,Aliou Cissé,Defensive Midfield
England,England,1880000.0,2002,Robbie Savage,Defensive Midfield
England,England,525000.0,2002,Tom Williams,Left-Back
England,England,1150000.0,2002,Andy Johnson,Centre-Forward
Portugal,England,19000000.0,2003,Cristiano Ronaldo,Centre-Forward
Brazil,England,8600000.0,2003,Kléberson,Central Midfield
France,England,4500000.0,2003,Eric Djemba Djemba,Defensive Midfield
United States,England,3200000.0,2003,Tim Howard,Goalkeeper
England,England,3000000.0,2003,David Bellion,Centre-Forward
England,England,21800000.0,2003,Juan Sebastián Verón,Central Midfield
Switzerland,England,3550000.0,2003,Philippe Senderos,Centre-Back
Germany,England,3500000.0,2003,Jens Lehmann,Goalkeeper
France,England,375000.0,2003,Gaël Clichy,Left-Back
England,England,50000.0,2003,John Halls,Defensive Midfield
Italy,England,26000000.0,2003,Hernán Crespo,Centre-Forward
England,England,24500000.0,2003,Damien Duff,Right Midfield
Italy,England,22700000.0,2003,Adrian Mutu,Left Winger
England,England,21800000.0,2003,Juan Sebastián Verón,Central Midfield
Spain,England,20000000.0,2003,Claude Makélélé,Defensive Midfield
England,England,10500000.0,2003,Wayne Bridge,Left-Back
Spain,England,10000000.0,2003,Njitap Geremi,Right Midfield
England,England,9900000.0,2003,Joe Cole,Attacking Midfield
England,England,8300000.000000001,2003,Glen Johnson,Right-Back
France,England,5500000.0,2003,Aleksey Smertin,Defensive Midfield
England,England,750000.0,2003,Mikael Forssell,Centre-Forward
England,England,200000.0,2003,Leon Knight,Centre-Forward
England,England,10000000.0,2003,Harry Kewell,Left Winger
England,England,5250000.0,2003,Steve Finnan,Right-Back
Scotland,England,9750000.0,2003,Barry Ferguson,Defensive Midfield
England,England,3600000.0,2003,Steven Reid,Right-Back
Netherlands,England,3000000.0,2003,Brett Emerton,Right Midfield
Scotland,England,2100000.0,2003,Lorenzo Amoruso,Centre-Back
Italy,England,1800000.0,2003,Vratislav Gresko,Left-Back
England,England,24500000.0,2003,Damien Duff,Right Midfield
England,England,8750000.0,2003,David Dunn,Attacking Midfield
Scotland,England,1750000.0,2003,James McFadden,Second Striker
England,England,1250000.0,2003,Kevin Kilbane,Left Midfield
England,England,800000.0,2003,Nigel Martyn,Goalkeeper
Scotland,England,115000.0,2003,Iain Turner,Goalkeeper
England,England,750000.0,2003,Mark Pembridge,Left Midfield
England,England,4850000.0,2003,Kevin Phillips,Centre-Forward
Scotland,England,2230000.0,2003,Neil McCann,Left Winger
England,England,400000.0,2003,Dexter Blackstock,Centre-Forward
England,England,375000.0,2003,Fitz Hall,Centre-Back
England,England,10500000.0,2003,Wayne Bridge,Left-Back
England,England,3750000.0,2003,Trevor Sinclair,Left Winger
England,England,3750000.0,2003,Claudio Reyna,Central Midfield
Netherlands,England,1500000.0,2003,Paul Bosvelt,Defensive Midfield
France,England,1100000.0,2003,Antoine Sibierski,Attacking Midfield
England,England,360000.0,2003,Mark Redshaw,Second Striker
England,England,1250000.0,2003,Darren Huckerby,Centre-Forward
England,England,700000.0,2003,Shaun Goater,Centre-Forward
England,England,450000.0,2003,Kevin Horlock,Defensive Midfield
England,England,280000.0,2003,Steve Howey,Centre-Back
Portugal,England,9000000.0,2003,Hélder Postiga,Centre-Forward
England,England,5250000.0,2003,Frédéric Kanouté,Centre-Forward
South Africa,England,2300000.0,2003,Mbulelo Mabizela,Centre-Back
England,England,2000000.0,2003,Bobby Zamora,Centre-Forward
England,England,450000.0,2003,Ben Thatcher,Left-Back
Italy,England,3500000.0,2003,Gaizka Mendieta,Right Midfield
Spain,England,200000.0,2003,Doriva,Defensive Midfield
England,England,750000.0,2003,Mark Crossley,Goalkeeper
England,England,375000.0,2003,Luke Wilkshire,Right-Back
England,England,1250000.0,2003,Matt Holland,Central Midfield
England,England,8750000.0,2003,David Dunn,Attacking Midfield
Argentina,England,3750000.0,2003,Luciano Figueroa,Centre-Forward
England,England,750000.0,2003,Mikael Forssell,Centre-Forward
England,England,1500000.0,2003,Geoff Horsfield,Centre-Forward
England,England,225000.0,2003,Michael Johnson,Centre-Back
England,England,225000.0,2003,Paul Devlin,Attacking Midfield
England,England,750000.0,2003,Mark Pembridge,Left Midfield
England,England,750000.0,2003,Mark Crossley,Goalkeeper
England,England,5250000.0,2003,Steve Finnan,Right-Back
England,England,40000.0,2003,Calum Willock,Centre-Forward
Italy,England,100000.0,2003,Roque Júnior,Centre-Back
England,England,10000000.0,2003,Harry Kewell,Left Winger
England,England,800000.0,2003,Nigel Martyn,Goalkeeper
England,England,3380000.0,2003,Gavin McCann,Central Midfield
England,England,3000000.0,2003,Thomas Sörensen,Goalkeeper
France,England,750000.0,2003,Florent Laville,Centre-Back
Israel,England,4750000.0,2003,Yakubu Aiyegbeni,Centre-Forward
Netherlands,England,2500000.0,2003,Dejan Stefanovic,Centre-Back
France,England,2230000.0,2003,Amdy Faye,Defensive Midfield
England,England,450000.0,2003,Ben Thatcher,Left-Back
England,England,280000.0,2003,Steve Howey,Centre-Back
Ireland,England,150000.0,2003,Alan Sheehan,Centre-Back
Portugal,England,2250000.0,2003,Silas,Attacking Midfield
France,England,2250000.0,2003,Henri Camara,Centre-Forward
England,England,2000000.0,2003,Jody Craddock,Centre-Back
England,England,150000.0,2003,Ívar Ingimarsson,Centre-Back
Italy,England,18000000.0,2000,Robbie Keane,Centre-Forward
France,England,10500000.0,2000,Olivier Dacourt,Defensive Midfield
Scotland,England,9150000.0,2000,Mark Viduka,Centre-Forward
England,England,7130000.0,2000,Dominic Matteo,Left-Back
Australia,England,375000.0,2000,Jacob Burns,Defensive Midfield
England,England,3750000.0,2000,David Hopkin,Right Midfield
England,England,3750000.0,2000,David Hopkin,Right Midfield
England,England,2100000.0,2000,Ashley Ward,Centre-Forward
Scotland,England,75000.0,2000,Andy Tod,Centre-Back
England,England,1400000.0,2000,Lee Mills,Centre-Forward
England,England,175000.0,2000,Ashley Westwood,Centre-Back
England,England,4500000.0,2000,Gary Rowett,Right-Back
England,England,2500000.0,2000,Callum Davidson,Left-Back
England,England,2250000.0,2000,Trevor Benjamin,Left Winger
England,England,1050000.0,2000,Richard Cresswell,Centre-Forward
England,England,750000.0,2000,Phil Gilchrist,Centre-Back
England,England,325000.0,2000,Stuart Campbell,Defensive Midfield
England,England,9250000.0,2000,Craig Bellamy,Left Winger
England,England,4500000.0,2000,David Thompson,Central Midfield
England,England,3000000.0,2000,Noel Whelan,Centre-Forward
